write address=00; data=00
write address=A6; data=A6
write address=A7; data=A7
write address=A8; data=A8
write address=A9; data=A9
write address=AA; data=AA
write address=AB; data=AB
write address=AC; data=AC
write address=AD; data=AD
write address=AE; data=AE
write address=AF; data=AF
write address=B0; data=B0
write address=B1; data=B1
write address=B2; data=B2
write address=B3; data=B3
write address=B4; data=B4
write address=B5; data=B5
write address=B6; data=B6
write address=B7; data=B7
write address=B8; data=B8
write address=B9; data=B9
write address=BA; data=BA
write address=BB; data=BB
write address=BC; data=BC
write address=BD; data=BD
write address=BE; data=BE
write address=BF; data=BF
write address=C0; data=C0
write address=C1; data=C1
write address=C2; data=C2
write address=C3; data=C3
write address=C4; data=C4
write address=C5; data=C5
write address=C6; data=C6
write address=C7; data=C7
write address=C8; data=C8
write address=C9; data=C9
write address=CA; data=CA
write address=CB; data=CB
write address=CC; data=CC
write address=CD; data=CD
write address=CE; data=CE
write address=CF; data=CF
write address=D0; data=D0
write address=D1; data=D1
write address=D2; data=D2
write address=D3; data=D3
write address=D4; data=D4
write address=D5; data=D5
write address=D6; data=D6
write address=D7; data=D7
write address=D8; data=D8
write address=D9; data=D9
write address=DA; data=DA
write address=DB; data=DB
write address=DC; data=DC
write address=DD; data=DD
write address=DE; data=DE
write address=DF; data=DF
write address=E0; data=E0
write address=E1; data=E1
write address=E2; data=E2
write address=E3; data=E3
write address=E4; data=E4
write address=E5; data=E5
write address=E6; data=E6
write address=E7; data=E7
write address=E8; data=E8
write address=E9; data=E9
write address=EA; data=EA
write address=EB; data=EB
write address=EC; data=EC
write address=ED; data=ED
write address=EE; data=EE
write address=EF; data=EF
write address=F0; data=F0
write address=F1; data=F1
write address=F2; data=F2
write address=F3; data=F3
write address=F4; data=F4
write address=F5; data=F5
write address=F6; data=F6
write address=F7; data=F7
write address=F8; data=F8
write address=F9; data=F9
write address=FA; data=FA
write address=FB; data=FB
write address=FC; data=FC
write address=FD; data=FD
write address=FE; data=FE
write address=FF; data=FF
---
read address=00; data=00
read address=01; data=01
read address=02; data=02
read address=03; data=03
read address=04; data=04
read address=05; data=05
read address=06; data=06
read address=07; data=07
read address=08; data=08
read address=09; data=09
read address=0A; data=0A
read address=0B; data=0B
read address=0C; data=0C
read address=0D; data=0D
read address=0E; data=0E
read address=0F; data=0F
read address=10; data=10
read address=11; data=11
read address=12; data=12
read address=13; data=13
read address=14; data=14
read address=15; data=15
read address=16; data=16
read address=17; data=17
read address=18; data=18
read address=19; data=19
read address=1A; data=1A
read address=1B; data=1B
read address=1C; data=1C
read address=1D; data=1D
read address=1E; data=1E
read address=1F; data=1F
read address=20; data=20
read address=21; data=21
read address=22; data=22
read address=23; data=23
read address=24; data=24
read address=25; data=25
read address=26; data=26
read address=27; data=27
read address=28; data=28
read address=29; data=29
read address=2A; data=2A
read address=2B; data=2B
read address=2C; data=2C
read address=2D; data=2D
read address=2E; data=2E
read address=2F; data=2F
read address=30; data=30
read address=31; data=31
read address=32; data=32
read address=33; data=33
read address=34; data=34
read address=35; data=35
read address=36; data=36
read address=37; data=37
read address=38; data=38
read address=39; data=39
read address=3A; data=3A
read address=3B; data=3B
read address=3C; data=3C
read address=3D; data=3D
read address=3E; data=3E
read address=3F; data=3F
read address=40; data=40
read address=41; data=41
read address=42; data=42
read address=43; data=43
read address=44; data=44
read address=45; data=45
read address=46; data=46
read address=47; data=47
read address=48; data=48
read address=49; data=49
read address=4A; data=4A
read address=4B; data=4B
read address=4C; data=4C
read address=4D; data=4D
read address=4E; data=4E
read address=4F; data=4F
read address=50; data=50
read address=51; data=51
read address=52; data=52
read address=53; data=53
read address=54; data=54
read address=55; data=55
read address=56; data=56
read address=57; data=57
read address=58; data=58
read address=59; data=59
read address=5A; data=5A
read address=5B; data=5B
read address=5C; data=5C
read address=5D; data=5D
read address=5E; data=5E
read address=5F; data=5F
read address=60; data=60
read address=61; data=61
read address=62; data=62
read address=63; data=63
read address=64; data=64
read address=65; data=65
read address=66; data=66
read address=67; data=67
read address=68; data=68
read address=69; data=69
read address=6A; data=6A
read address=6B; data=6B
read address=6C; data=6C
read address=6D; data=6D
read address=6E; data=6E
read address=6F; data=6F
read address=70; data=70
read address=71; data=71
read address=72; data=72
read address=73; data=73
read address=74; data=74
read address=75; data=75
read address=76; data=76
read address=77; data=77
read address=78; data=78
read address=79; data=79
